         3006626 function calls (2810665 primitive calls) in 18.466 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    63/11    0.000    0.000    0.008    0.001 pyparsing.py:4032(parseImpl)
      432    0.000    0.000    0.000    0.000 colors.py:217(<genexpr>)
       48    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
        6    0.000    0.000    0.002    0.000 shutil.py:1099(which)
  195/160    0.000    0.000    0.000    0.000 sre_compile.py:414(_get_literal_prefix)
      342    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.001    0.001 _cm_listed.py:1(<module>)
      167    0.000    0.000    0.010    0.000 rcsetup.py:68(f)
       33    0.000    0.000    0.001    0.000 posixpath.py:338(normpath)
      164    0.000    0.000    0.000    0.000 colors.py:454(__init__)
      744    0.000    0.000    0.001    0.000 sre_parse.py:81(groups)
        5    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
       33    0.000    0.000    0.002    0.000 __init__.py:1161(getLogger)
      616    0.000    0.000    0.001    0.000 _inspect.py:26(isfunction)
      274    0.000    0.000    0.001    0.000 function_base.py:419(_needs_add_docstring)
        1    0.000    0.000    0.011    0.011 fromnumeric.py:3(<module>)
      612    0.000    0.000    0.001    0.000 _inspect.py:41(iscode)
       67    0.000    0.000    0.001    0.000 pyparsing.py:4425(__init__)
       59    0.000    0.000    0.001    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      7/2    0.000    0.000    0.148    0.074 pyplot.py:182(switch_backend)
     1897    0.000    0.000    0.000    0.000 inspect.py:2506(default)
      631    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.006    0.006 tokenize.py:21(<module>)
        1    0.000    0.000    0.043    0.043 core.py:182(read_style_directory)
        1    0.000    0.000    0.075    0.075 __init__.py:13(<module>)
      410    0.000    0.000    0.001    0.000 copyreg.py:87(__newobj__)
      132    0.000    0.000    0.002    0.000 enum.py:797(__or__)
     33/5    0.000    0.000    0.002    0.000 pyparsing.py:3912(streamline)
   114/56    0.000    0.000    0.007    0.000 pyparsing.py:3952(copy)
      179    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       61    0.000    0.000    0.001    0.000 enum.py:419(_get_mixins_)
       23    0.000    0.000    0.006    0.000 overrides.py:206(decorator)
      358    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
        1    0.000    0.000    0.002    0.002 getlimits.py:94(_register_known_types)
       50    0.000    0.000    0.020    0.000 kmc_classes.py:107(kill)
      252    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(can_cast)
     2452    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      130    0.000    0.000    0.001    0.000 pyplot.py:1773(<genexpr>)
       13    0.000    0.000    0.455    0.035 __init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
       54    0.000    0.000    0.001    0.000 pyparsing.py:3354(__str__)
       60    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
       48    0.000    0.000    0.001    0.000 sre_compile.py:376(_mk_bitmap)
